raw data,unmodified,oxidized (0.5 hr),oxidized (1 hr),oxidized (2 hr),oxidized (4 hr),cationic (0.5 hr),cationic (1 hr),cationic (2 hr),cationic (4 hr)
wavenumber (cm-1),intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity
1501,0.20011429,0.444136012,0.070595004,0.09258708,0.54185115,0.46616325,1.470637417,1.16289334,0.89692599
1503,0.22039223,0.44228521,0.03199647,0.10884186,0.46968654,0.44558124,1.339882135,1.00483848,0.78318343
1505,0.18389761,0.405999738,0.041954417,0.15599459,0.31295889,0.41440514,1.24672277,0.8907757,0.70316591
1507,0.05844534,0.435099518,0.098695733,0.11814109,0.19965876,0.32865093,1.098822725,0.87471185,0.49648101
1509,0.0991104,0.409412962,0.097928494,0.0634596,0.26493947,0.25481501,0.847314972,0.86872994,0.49038697
1511,0.15313564,0.374907696,0.062584251,0.04384823,0.31623036,0.25335224,0.8499861,0.85508007,0.488892
1513,0.19916123,0.371203196,0.033324346,0.0410071,0.38037846,0.27296296,0.894522667,0.76899331,0.52516091
1515,0.16475196,0.346106297,0.026425797,0.0723314,0.39723722,0.23399493,0.831055248,0.72788399,0.48005425
1517,0.15686349,0.335182643,0.046016242,0.04636419,0.41770899,0.26139464,0.836831093,0.68145638,0.44416147
1519,0.13515951,0.350999469,-0.021434279,0.01244742,0.41062626,0.23864572,0.775449359,0.64231293,0.41501887
1521,0.08563707,0.354730493,0.015749875,0.01626111,0.39617077,0.24598073,0.601578429,0.59448387,0.39791647
1523,0.14499779,0.359077978,0.007059036,0.06785526,0.38619758,0.27478229,0.739051533,0.71970106,0.46200643
1525,0.12888151,0.362831819,0.012479711,0.0213352,0.42009395,0.24134818,0.863280213,0.76901712,0.4685838
1527,0.14642845,0.421767014,0.018238459,0.02293796,0.38688976,0.23777974,0.996211529,0.80692883,0.52751327
1529,0.1858278,0.441571426,0.028097445,0.05385084,0.33983791,0.25311112,1.055982435,0.86859201,0.57515273
1531,0.17748077,0.431327498,0.067966901,0.05533858,0.29270298,0.2608952,1.005284107,0.88562802,0.60811572
1533,0.20145211,0.444533265,0.057984024,0.05899686,0.29302936,0.29023248,1.011002564,0.90747088,0.64735459
1535,0.2221499,0.482025617,0.065888263,0.0695791,0.34780378,0.31354954,1.143330336,0.94959141,0.64240255
1537,0.21542577,0.490606445,0.026198814,0.04544823,0.30767836,0.28940045,1.124345946,0.88145615,0.58383578
1539,0.12523227,0.504525828,-0.023231557,0.03573095,0.19873052,0.30817764,1.097664773,0.7901242,0.51197359
1541,0.16462141,0.470317179,-0.044874556,0.02916517,0.22082602,0.28657352,1.051767492,0.81438308,0.60459102
1543,0.23853216,0.506453359,0.019907624,0.02065475,0.33088118,0.29580227,1.173249674,0.9583606,0.69216166
1545,0.27212658,0.542994356,0.038963117,0.05177912,0.38106484,0.34533564,1.237267041,1.07747946,0.72478877
1547,0.29736296,0.557034421,0.070869341,0.07645901,0.39450564,0.34463806,1.296057558,1.11949553,0.72946987
1549,0.28379375,0.584628117,0.069544591,0.07010628,0.39630428,0.35311967,1.333044434,1.13000095,0.73967243
1551,0.27887412,0.611386168,0.064896025,0.10048593,0.36930846,0.36064031,1.337689352,1.14131289,0.74779122
1553,0.3000579,0.64129436,0.057053316,0.10338552,0.34836781,0.35125696,1.317165899,1.12629938,0.74527075
1555,0.34428997,0.645807421,0.043922558,0.09377059,0.38680021,0.35463036,1.339458728,1.13745561,0.74409933
1557,0.2867538,0.590179956,0.003103028,0.05342004,0.32315003,0.34259592,1.167533588,1.08063114,0.66539108
1559,0.25786675,0.607188725,-0.058767512,0.02221304,0.17051504,0.38424919,1.096746039,1.08736292,0.72081108
1561,0.33194143,0.765221655,0.047582697,0.11310564,0.38852674,0.39767597,1.385937643,1.1909399,0.7976252
1563,0.35817372,0.804304898,0.083656251,0.1222904,0.44208999,0.37319319,1.397001767,1.1837496,0.79879622
1565,0.37871879,0.855793011,0.090897441,0.14878671,0.45787378,0.37340692,1.379211473,1.17682626,0.77391057
1567,0.37584944,0.8703354,0.102683797,0.15936193,0.43991396,0.37795832,1.368347287,1.14188609,0.74585766
1569,0.35661031,0.919041383,0.087929361,0.15678112,0.47252322,0.38271401,1.390045857,1.1277101,0.74876971
1571,0.39441373,1.025774407,0.116683617,0.16961089,0.51816758,0.38423849,1.409131908,1.11735058,0.75068032
1573,0.4280646,1.082900548,0.112782203,0.16667187,0.52926149,0.37094354,1.373091173,1.09652479,0.74141835
1575,0.42688611,1.100797105,0.099040657,0.12627605,0.50926845,0.3514858,1.303901792,1.12204881,0.73031756
1577,0.42664621,1.221862054,0.129211366,0.15555616,0.56239516,0.36069933,1.33307941,1.14565344,0.71765852
1579,0.45926306,1.308318925,0.158650398,0.19094048,0.59714875,0.36706101,1.39762249,1.12838566,0.70512708
1581,0.48573417,1.381386733,0.154498428,0.20093091,0.62055341,0.35674249,1.406299973,1.11244965,0.68870113
1583,0.50097426,1.462416196,0.160435468,0.21890928,0.64091942,0.3530718,1.392888021,1.10848854,0.66843355
1585,0.51269087,1.545095706,0.166326001,0.23003733,0.64990311,0.36418126,1.396965861,1.0892561,0.64903624
1587,0.50302808,1.609834313,0.191689298,0.2314799,0.67340851,0.37305966,1.432252073,1.08987343,0.64068269
1589,0.51670876,1.662221766,0.194592521,0.22247705,0.71330614,0.37052978,1.460529447,1.11038122,0.63805048
1591,0.53703713,1.711961889,0.183482692,0.23870294,0.75133698,0.37164961,1.486319065,1.11951497,0.62766527
1593,0.55577992,1.744903421,0.195863873,0.25746706,0.77206007,0.37260788,1.483064318,1.13364339,0.62596078
1595,0.5545239,1.75339458,0.209138155,0.26918045,0.80010282,0.38004358,1.522938275,1.17390802,0.62752604
1597,0.55480781,1.750509191,0.217426375,0.27489895,0.84360847,0.39088614,1.567327237,1.20699275,0.64029303
1599,0.56778256,1.735801291,0.23471877,0.29149237,0.88023137,0.40316455,1.618314219,1.24938068,0.64758867
1601,0.5843554,1.693615913,0.251030624,0.31364012,0.90719461,0.40932809,1.645631814,1.28578815,0.66053734
1603,0.59638692,1.658496571,0.263300717,0.32969987,0.95613612,0.42352304,1.707844305,1.33410931,0.68298682
1605,0.59519166,1.607219243,0.255541265,0.35334033,0.99446847,0.43761488,1.805399656,1.37234128,0.71272699
1607,0.59574299,1.539584303,0.25427717,0.35825905,1.00290684,0.45039721,1.87102437,1.40753767,0.73357745
1609,0.58126057,1.46540885,0.2708399,0.36459991,1.03137755,0.46191669,1.93101213,1.47673872,0.747754
1611,0.5705658,1.41216042,0.286880404,0.36944568,1.07014685,0.47327657,1.999408889,1.54485478,0.7609697
1613,0.55625464,1.356569171,0.281483561,0.37548953,1.08642309,0.48947824,2.078425074,1.5871768,0.78191411
1615,0.52583562,1.292659497,0.261228085,0.37506047,1.08911755,0.4992683,2.100002909,1.60332284,0.78802985
1617,0.51992718,1.228535318,0.263842374,0.39844161,1.14133275,0.52529725,2.255153275,1.73643305,0.85130097
1619,0.52436285,1.194773889,0.287536144,0.41499314,1.15884039,0.55238963,2.312178612,1.80383191,0.87728457
1621,0.51212016,1.14532721,0.296228468,0.41166747,1.13493972,0.56016321,2.318818283,1.81101043,0.90350982
