,unmodified,cationic (0.5 hr),cationic (1 hr),cationic (2 hr),cationic (4 hr),
Fiber length range (µm),Count (%),Count (%),Count (%),Count (%),Count (%),
100,0,0,0,0,0,
200,0,0,1.34,0.56,3.55,
300,0,0.99,4.03,2.25,4.73,
400,1.01,0,5.37,2.81,9.47,
500,4.04,5.94,2.01,10.67,9.47,
600,10.1,8.91,11.41,7.87,15.38,
700,12.12,14.85,9.4,17.98,18.93,
800,19.19,18.81,27.52,19.66,18.34,
900,23.23,17.82,15.44,15.73,10.06,
1000,12.12,18.81,10.07,11.24,5.92,
1100,7.07,2.97,7.38,5.62,3.55,
1200,5.05,6.93,3.36,2.81,0.59,
1300,4.04,2.97,0.67,1.69,0,
1400,2.02,0.99,1.34,0.56,0,
1500,0,0,0.67,0.56,0,
1600,0,0,0,0,0,
1700,0,0,0,0,0,
