,no fiber,unmodified fiber,cationic (0.5 h),cationic (1 h),cationic (2 h),cationic (4 h)
,turbidity (NTU),turbidity (NTU),turbidity (NTU),turbidity (NTU),turbidity (NTU),turbidity (NTU)
30 sec_test #1,70.9,45.4,2.9,1.4,5.2,20.7
30 sec_test #2,79.8,34.2,1.6,1.3,12.0,12.9
30 sec_test #3,64.8,48.2,2.2,1.3,12.0,11.2
30 sec_Average,71.8,42.6,2.2,1.3,9.7,15.0
30 sec_SD,6.2,6.0,0.5,0.1,3.2,4.1
180 sec_test #1,16.6,9.6,2.3,1.1,1.9,3.2
180 sec_test #2,13.8,8.5,1.5,1.2,3.0,2.8
180 sec_test #3,16.1,12.4,2.0,1.2,2.9,2.2
180 sec_Average,15.5,10.2,1.9,1.2,2.6,2.7
180 sec_SD,1.2,1.6,0.3,0.0,0.5,0.4
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
