,no fiber,unmodified fiber,cationic fiber (30 mg/L alum),cationic fiber (50 mg/L alum)
flocculant concentration (mg/L),turbidity (NTU),turbidity (NTU),turbidity (NTU),turbidity (NTU)
0.5_test #1,16.6,9.6,4.5,1.1
0.5_test #2,13.8,8.5,4.2,1.2
0.5_test #3,16.1,12.4,5.0,1.2
0.5_Average,15.5,10.2,4.6,1.2
0.5_SD,1.2,1.6,0.4,0.0
0.2_test #1,36.7,16.1,6.6,1.9
0.2_test #2,48.0,18.1,5.7,1.9
0.2_test #3,38.0,17.7,6.2,2.0
0.2_Average,40.9,17.3,6.2,1.9
0.2_SD,5.1,0.9,0.4,0.1
0.15_test #1,,,7.8,1.7
0.15_test #2,,,7.5,1.8
0.15_test #3,,,7.0,2.8
0.15_Average,,,7.4,2.1
0.15_SD,,,0.3,0.5
0.1_test #1,58.2,33.2,9.2,2.4
0.1_test #2,36.7,23.8,6.9,2.4
0.1_test #3,64.4,26.6,8.5,2.7
0.1_Average,53.1,27.9,8.2,2.5
0.1_SD,11.9,3.9,0.9,0.2
0.05_test #1,,,13.1,3.6
0.05_test #2,,,13.1,7.0
0.05_test #3,,,11.6,5.5
0.05_Average,,,12.6,5.4
0.05_SD,,,0.7,1.4
0.0_test #1,62.3,40.8,21.2,7.2
0.0_test #2,42.8,46.6,12.8,11.0
0.0_test #3,65.2,44.8,11.6,11.0
0.0_Average,56.8,44.1,15.2,9.7
0.0_SD,10.0,2.4,4.3,1.8
