,no fiber,unmodified fiber,cationic fiber
coagulant concentration (mg/L),turbidity (NTU),turbidity (NTU),turbidity (NTU)
50_test #1,16.6,9.6,1.1
50_test #2,13.8,8.5,1.2
50_test #3,16.1,12.4,1.2
50_Average,15.5,10.2,1.2
50_SD,1.2,1.6,0.0
45_test #1,64.2,46.5,4.5
45_test #2,64.8,53.2,3.7
45_test #3,63.7,42.4,3.4
45_Average,64.2,47.4,3.9
45_SD,0.4,4.5,0.5
40_test #1,,59.0,4.5
40_test #2,,57.1,5.1
40_test #3,,60.0,6.0
40_Average,,58.7,5.2
40_SD,,1.2,0.6
30_test #1,,,4.5
30_test #2,,,4.2
30_test #3,,,5.0
30_Average,,,4.6
30_SD,,,0.4
20_test #1,62.9,68.5,10.8
20_test #2,61.8,67.2,9.7
20_test #3,62.0,67.7,10.5
20_Average,62.2,67.8,10.3
20_SD,0.5,0.5,0.4
10_test #1,,,24.9
10_test #2,,,24.0
10_test #3,,,25.6
10_Average,,,24.8
10_SD,,,0.7
0_test #1,60.8,66.5,40.0
0_test #2,61.5,61.2,43.1
0_test #3,61.0,64.1,39.3
0_Average,61.1,63.9,40.8
0_SD,0.3,2.2,1.7
