,no fiber,unmodified fiber,unmodified/cationic,cationic (150 mg/L),cationic (200 mg/L),cationic (250 mg/L),coagulant (30 mg/L),coagulant (50 mg/L),optimal dosing schedule
,removal efficiency (%),removal efficiency (%),removal efficiency (%),removal efficiency (%),removal efficiency (%),removal efficiency (%),removal efficiency (%),removal efficiency (%),removal efficiency (%)
1 um_test #1,27.2,62.7,90.4,93.4,96.7,96.9,90.8,95.9,99.4
1 um_test #2,34.2,63.0,90.1,94.3,96.7,97.0,90.8,95.6,99.5
1 um_test #3,36.4,62.4,90.1,94.7,96.6,96.9,90.8,95.8,99.4
1 um_Average,32.6,62.7,90.2,94.1,96.7,97.0,90.8,95.7,99.4
1 um_SD,4.0,0.2,0.1,0.5,0.0,0.1,0.0,0.1,0.0
200 nm_test #1,29.3,33.8,64.3,84.2,93.0,92.8,83.3,87.4,99.7
200 nm_test #2,32.3,31.1,63.6,85.3,92.5,92.8,80.5,87.3,99.8
200 nm_test #3,35.2,31.0,63.2,86.0,91.5,92.8,79.6,87.6,100.0
200 nm_Average,32.2,32.0,63.7,85.2,92.3,92.8,81.1,87.4,99.8
200 nm_SD,2.4,1.3,0.4,0.7,0.6,0.0,1.6,0.1,0.1
20 nm_test #1,24.5,29.2,60.0,82.1,89.4,89.1,73.7,85.0,92.8
20 nm_test #2,25.7,31.0,58.3,83.4,89.1,89.2,73.3,84.0,92.6
20 nm_test #3,28.8,33.2,58.1,84.9,89.2,89.2,72.9,84.4,92.9
20 nm_Average,26.3,31.1,58.8,83.5,89.2,89.2,73.3,84.5,92.8
20 nm_SD,1.8,1.6,0.8,1.1,0.1,0.0,0.3,0.4,0.1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
