,cycle 1,cycle 2,cycle 3,cycle 4,cycle 5
,removal efficiency (%),removal efficiency (%),removal efficiency (%),removal efficiency (%),removal efficiency (%)
turbidity_test #1,97.9,84.8,75.6,77.0,80.9
turbidity_test #2,97.2,88.3,82.4,77.2,68.7
turbidity_test #3,97.1,82.3,79.7,72.9,73.2
turbidity_Average,97.4,85.2,79.3,75.7,74.3
turbidity_SD,0.4,2.5,2.8,2.0,5.0
polystyrene 1 um_test #1,96.5,64.5,62.2,57.2,45.2
polystyrene 1 um_test #2,96.5,63.6,62.6,56.9,44.9
polystyrene 1 um_test #3,96.5,63.9,62.1,57.2,45.1
polystyrene 1 um_Average,96.5,64.0,62.3,57.1,45.1
polystyrene 1 um_SD,0.0,0.4,0.2,0.2,0.1
polystyrene 20 nm_test #1,86.8,42.3,35.6,34.6,31.6
polystyrene 20 nm_test #2,86.5,42.7,34.7,33.6,31.8
polystyrene 20 nm_test #3,86.6,41.8,34.7,33.8,31.1
polystyrene 20 nm_Average,86.6,42.2,35.0,34.0,31.5
polystyrene 20 nm_SD,0.1,0.4,0.4,0.4,0.3
