,no fiber,unmodified,cationic  ,"cationic (40 mg/L, 0.2 mg/L)","cationic (30 mg/L, 0.5 mg/L)","cationic (30 mg/L, 0.2 mg/L)","cationic (30 mg/L, 0.1 mg/L)","unmodified (30 mg/L, 0.1 mg/L)"
,turbidity (NTU),turbidity (NTU),turbidity (NTU),turbidity (NTU),turbidity (NTU),turbidity (NTU),turbidity (NTU),turbidity (NTU)
test #1,9.4,6.4,3.8,4.4,5.1,6.6,8.4,12.2
test #2,10.1,5.1,3.7,5.7,5.5,6.1,8.7,14.7
test #3,9.0,6.2,3.9,6.1,5.3,6.6,8.1,13.0
Average,9.5,5.9,3.8,5.4,5.3,6.4,8.4,13.3
SD,0.4,0.6,0.1,0.7,0.2,0.2,0.3,1.0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
