raw data,substrate #1,substrate #2,unmodified,cationic (0.5 hr),cationic (1 hr),cationic (2 hr),cationic (4 hr)
2θ (°),intensity,intensity,intensity,intensity,intensity,intensity,intensity
10,490,486,575,553,517,570,500
10.0205,499,467.5,551,528,534,495,551
10.0409,491.5,481.5,560,524,490,532,535
10.0614,477,439.5,552,531,529,558,538
10.0819,509.5,480,548,557,540,558,558
10.1024,492,460.5,589,532,521,521,456
10.1228,500.5,472.5,575,525,511,502,516
10.1433,485,454,509,538,524,529,523
10.1638,479,470.5,553,524,504,525,499
10.1843,475.5,488.5,530,529,527,543,493
10.2047,453.5,481,526,547,509,525,488
10.2252,487,430.5,522,490,551,489,477
10.2457,487,473,507,539,454,555,525
10.2662,462.5,421,525,543,497,566,515
10.2866,470,476,517,492,516,505,518
10.3071,457,433.5,526,559,489,501,450
10.3276,432.5,435,534,522,539,516,489
10.3481,467.5,454,581,516,483,515,493
10.3685,463,444,559,537,500,524,468
10.389,449,422.5,497,535,494,507,497
10.4095,478.5,415.5,527,500,500,488,508
10.4299,454.5,424.5,517,509,512,543,512
10.4504,441.5,429,504,514,554,513,484
10.4709,445,460.5,536,502,502,541,511
10.4914,452.5,441,515,515,485,511,506
10.5118,442,449,504,505,495,496,481
10.5323,433,446,512,503,458,487,493
10.5528,438.5,473,483,546,504,536,520
10.5733,442,439.5,516,502,491,481,495
10.5937,463,455.5,527,529,457,492,492
10.6142,452,459,497,485,490,518,518
10.6347,440,437,496,539,478,506,454
10.6552,453,453,500,478,481,467,532
10.6756,419.5,417.5,507,472,504,508,513
10.6961,445,438,468,510,491,529,500
10.7166,434,427.5,466,523,506,499,467
10.737,446.5,414,518,526,508,506,461
10.7575,471,437,451,538,487,505,449
10.778,467.5,429.5,468,505,479,499,453
10.7985,427,421.5,511,512,521,482,490
10.8189,451,439,508,464,495,520,488
10.8394,431,437.5,534,473,486,509,461
10.8599,437,439,552,486,496,499,487
10.8804,422,429.5,534,520,472,479,488
10.9008,412.5,437.5,489,495,468,534,497
10.9213,447.5,419.5,533,505,474,535,508
10.9418,432.5,447,476,511,524,507,502
10.9623,444.5,420.5,496,449,519,482,470
10.9827,433.5,396.5,507,504,436,489,449
11.0032,450.5,422.5,475,465,482,493,501
