,1.0 µm beads,1.0 µm beads,1.0 µm beads,200 nm beads,200 nm beads,200 nm beads,20 nm beads,20 nm beads,20 nm beads
,initial,treated with no fiber,treated with cationic fiber,initial,treated with no fiber,treated with cationic fiber,initial,treated with no fiber,treated with cationic fiber
bead concentration (mg/L),intensity (a.u.),intensity (a.u.),intensity (a.u.),intensity (a.u.),intensity (a.u.),intensity (a.u.),intensity (a.u.),intensity (a.u.),intensity (a.u.)
1.0_test #1,1.32,1.05,0.99,0.67,0.58,0.53,0.56,0.47,0.32
1.0_test #2,1.08,1.15,1.02,0.75,0.51,0.45,0.71,0.36,0.32
1.0_test #3,1.41,1.16,1.21,0.71,0.50,0.58,0.65,0.38,0.43
1.0_test #4,1.16,1.03,1.08,0.70,0.53,0.52,0.62,0.48,0.30
1.0_test #5,0.94,1.23,1.02,0.71,0.60,0.56,0.62,0.44,0.41
1.0_Average,1.18,1.12,1.06,0.71,0.54,0.53,0.63,0.43,0.36
1.0_SD,0.17,0.07,0.08,0.02,0.04,0.05,0.05,0.05,0.05
0.5_test #1,0.88,0.62,0.68,0.55,0.44,0.27,0.54,0.35,0.31
0.5_test #2,0.86,0.64,0.69,0.58,0.41,0.33,0.48,0.38,0.20
0.5_test #3,0.75,0.70,0.49,0.68,0.37,0.35,0.46,0.36,0.30
0.5_test #4,0.93,0.53,0.66,0.52,0.40,0.30,0.53,0.29,0.29
0.5_test #5,0.88,0.56,0.49,0.50,0.42,0.36,0.61,0.36,0.19
0.5_Average,0.86,0.61,0.60,0.56,0.41,0.32,0.52,0.35,0.26
0.5_SD,0.06,0.06,0.09,0.06,0.02,0.03,0.05,0.03,0.05
0.4_test #1,0.85,0.65,0.58,0.64,0.38,0.32,0.40,0.35,0.27
0.4_test #2,0.85,0.49,0.52,0.55,0.31,0.28,0.43,0.28,0.21
0.4_test #3,0.75,0.57,0.61,0.48,0.34,0.27,0.64,0.35,0.29
0.4_test #4,0.80,0.60,0.60,0.53,0.37,0.32,0.42,0.32,0.39
0.4_test #5,0.81,0.57,0.42,0.54,0.30,0.34,0.48,0.37,0.30
0.4_Average,0.81,0.57,0.55,0.55,0.34,0.31,0.47,0.33,0.29
0.4_SD,0.04,0.05,0.07,0.05,0.03,0.03,0.09,0.03,0.06
0.2_test #1,0.50,0.25,0.25,0.40,0.23,0.24,0.46,0.23,0.19
0.2_test #2,0.53,0.28,0.31,0.52,0.27,0.22,0.42,0.28,0.22
0.2_test #3,0.64,0.42,0.47,0.44,0.30,0.23,0.40,0.31,0.19
0.2_test #4,0.64,0.41,0.39,0.49,0.29,0.31,0.51,0.22,0.13
0.2_test #5,0.58,0.41,0.38,0.37,0.29,0.31,0.32,0.28,0.38
0.2_Average,0.57,0.35,0.36,0.44,0.27,0.26,0.42,0.26,0.22
0.2_SD,0.06,0.07,0.07,0.05,0.03,0.04,0.06,0.03,0.09
0.0_test #1,0.45,0.19,0.14,0.50,0.27,0.19,0.37,0.22,0.16
0.0_test #2,0.36,0.05,0.08,0.47,0.18,0.12,0.39,0.25,0.21
0.0_test #3,0.41,0.16,0.22,0.41,0.28,0.23,0.40,0.20,0.16
0.0_test #4,0.47,0.08,0.19,0.42,0.24,0.12,0.38,0.15,0.14
0.0_test #5,0.58,0.11,0.29,0.44,0.33,0.24,0.37,0.21,0.10
0.0_Average,0.45,0.12,0.19,0.45,0.26,0.18,0.38,0.21,0.16
0.0_SD,0.07,0.05,0.07,0.03,0.05,0.05,0.01,0.03,0.04
