unmodified,cationic (0.5 hr),cationic (1 hr),cationic (2 hr),cationic (4 hr)
fiber diameter (µm),fiber diameter (µm),fiber diameter (µm),fiber diameter (µm),fiber diameter (µm)
16.5,10.6,11.3,12.1,8.6
17.8,15.4,10.0,13.6,8.7
14.8,13.7,9.7,12.4,9.0
15.0,13.4,8.5,13.8,13.5
11.6,9.7,5.9,16.1,10.5
6.2,14.0,11.4,11.7,14.5
7.1,15.6,13.7,13.0,13.0
5.9,16.3,9.3,17.7,11.0
9.8,10.5,9.7,15.0,6.3
12.0,14.8,9.2,5.3,5.2
12.8,8.4,13.6,11.8,10.9
10.2,6.5,10.7,9.1,8.3
12.9,6.6,12.1,7.5,14.1
13.4,11.4,14.2,12.9,10.7
7.9,10.6,15.6,22.2,17.4
10.4,10.9,23.8,12.2,4.1
9.8,14.3,16.4,14.4,6.8
8.7,13.1,18.3,13.5,5.8
7.7,6.9,16.6,10.4,7.4
11.4,6.0,9.9,12.9,16.2
14.2,5.9,13.8,8.6,12.3
11.3,8.8,7.4,11.6,17.9
8.5,11.3,10.4,5.9,17.9
16.9,15.6,12.5,11.1,19.0
17.5,8.9,7.1,9.7,18.5
8.6,7.8,9.3,12.3,17.5
11.0,5.8,9.4,9.1,18.7
14.4,6.0,9.8,8.7,10.6
9.2,13.0,11.6,5.8,11.9
16.0,10.3,7.6,13.0,9.2
12.7,9.0,9.5,10.9,4.8
12.6,10.8,9.4,19.7,5.8
16.7,8.6,7.4,16.7,9.3
16.7,8.0,9.4,11.2,8.6
15.3,16.1,11.8,9.2,10.7
5.9,14.1,11.6,6.6,14.4
6.7,9.8,9.3,10.7,10.6
7.6,11.4,6.1,8.9,15.3
9.5,15.5,6.6,5.5,8.9
5.2,13.6,10.5,11.6,11.3
6.7,13.7,14.5,10.9,12.8
7.0,11.8,7.5,10.5,7.8
10.9,13.0,12.8,15.1,4.1
7.6,7.4,12.7,12.1,8.4
9.8,7.5,16.6,9.5,18.5
4.0,7.6,17.3,10.0,10.3
4.9,10.7,18.5,8.1,8.0
6.0,5.2,7.4,2.9,12.2
12.6,4.4,12.1,6.3,8.3
7.5,13.8,5.0,5.0,13.3
14.4,13.8,8.0,11.0,9.4
12.4,11.3,8.0,7.7,12.4
18.3,12.6,18.5,17.8,6.8
10.4,12.7,14.3,12.8,9.0
16.5,3.8,9.0,15.0,9.2
7.4,8.3,7.7,15.4,10.1
9.0,9.8,6.0,18.7,11.1
9.3,8.8,10.1,10.0,8.2
13.3,7.0,10.8,7.3,8.7
15.3,12.4,9.3,8.4,13.1
13.4,15.6,11.3,6.8,9.3
11.9,20.2,10.4,3.3,13.0
10.9,15.6,4.7,14.1,10.6
8.2,19.9,6.9,11.1,6.9
10.0,16.7,8.6,10.7,5.3
8.8,10.1,6.6,13.9,7.6
6.5,9.0,17.8,10.5,5.6
9.5,11.2,5.4,7.3,5.2
6.9,9.0,6.6,7.7,6.9
7.9,8.0,7.9,9.1,10.8
12.1,5.1,7.8,8.8,11.6
13.2,8.1,7.3,6.4,14.9
15.3,7.0,6.6,10.4,14.7
12.3,6.5,10.9,12.3,13.7
15.9,10.3,12.1,14.2,14.0
9.5,12.0,4.5,11.6,12.2
11.3,12.4,11.4,10.1,15.0
8.1,11.6,6.8,7.0,19.4
