,unmodified,cationic (0.5 h),cationic (1 h),cationic (2 h),cationic (4 h),cationic (24 h)
energy (keV),count,count,count,count,count,count
0,0,0,0,0,0,0
0.01,0,0,0,0,0,0
0.02,0,0,0,0,0,0
0.03,2,0,0,0,0,0
0.04,1,4,1,2,3,2
0.05,5,16,7,6,8,4
0.06,19,36,18,30,25,11
0.07,28,59,24,56,56,26
0.08,44,77,28,68,115,36
0.09,38,101,24,129,130,45
0.1,41,166,42,146,181,57
0.11,50,194,30,203,211,76
0.12,52,235,28,187,238,92
0.13,48,210,38,187,240,81
0.14,66,221,38,200,243,80
0.15,69,194,38,230,229,83
0.16,61,213,44,191,246,91
0.17,56,199,28,207,230,73
0.18,61,239,38,205,233,81
0.19,75,247,42,228,283,85
0.2,69,251,50,231,290,87
0.21,68,252,38,259,306,107
0.22,77,267,26,274,317,104
0.23,84,318,52,277,338,98
0.24,72,313,53,322,402,135
0.25,95,347,54,352,389,140
0.26,93,355,60,312,352,128
0.27,89,337,57,302,352,122
0.28,74,244,37,219,277,92
0.29,52,194,32,185,198,85
0.3,34,149,25,143,123,74
0.31,24,74,12,98,115,31
0.32,17,46,10,55,76,28
0.33,16,28,7,49,49,37
0.34,15,28,11,58,42,40
0.35,18,20,9,58,37,42
0.36,16,30,8,53,48,46
0.37,15,31,3,65,51,51
0.38,10,28,5,66,57,56
0.39,17,28,6,64,56,55
0.4,13,32,14,72,50,44
0.41,19,33,8,48,40,32
0.42,21,35,13,70,62,43
0.43,21,36,11,80,69,35
0.44,28,43,10,92,57,30
0.45,28,58,18,100,66,33
0.46,38,73,15,122,85,30
0.47,47,87,21,187,96,51
0.48,76,121,33,241,152,60
0.49,103,185,43,287,217,89
0.5,100,208,54,385,281,115
0.51,126,272,68,498,275,107
0.52,141,256,67,481,318,130
0.53,158,233,82,422,287,122
0.54,108,178,69,410,256,86
0.55,69,140,43,259,165,71
0.56,51,84,22,150,105,54
0.57,17,43,15,103,65,31
0.58,19,22,7,56,33,13
0.59,6,21,9,28,18,3
0.6,12,8,3,24,13,10
0.61,12,9,3,10,19,3
0.62,8,5,1,11,7,5
0.63,7,7,0,19,12,4
0.64,5,7,4,19,14,4
0.65,7,6,1,14,17,2
0.66,9,11,4,18,13,4
0.67,11,9,2,14,15,4
0.68,12,5,3,10,12,2
0.69,7,4,3,11,16,4
0.7,7,6,2,14,10,2
0.71,4,3,3,19,10,4
0.72,7,7,4,21,10,4
0.73,10,3,1,15,13,8
0.74,7,8,0,12,14,10
0.75,9,14,2,10,14,10
0.76,4,6,4,16,12,2
0.77,9,9,2,13,13,13
0.78,3,5,3,17,8,4
0.79,7,9,2,17,11,8
0.8,10,11,4,15,22,11
0.81,7,10,1,17,17,5
0.82,9,9,4,21,18,2
0.83,9,8,0,15,16,7
0.84,9,9,4,11,20,5
0.85,4,8,2,17,14,10
0.86,9,13,1,15,21,8
0.87,7,7,1,13,7,7
0.88,8,9,5,16,22,7
0.89,8,14,1,7,17,13
0.9,5,9,6,18,10,9
0.91,6,10,4,19,17,6
0.92,9,5,2,17,16,10
0.93,6,7,0,15,17,4
0.94,6,9,0,13,13,4
0.95,13,11,2,18,17,4
0.96,9,9,3,15,15,8
0.97,6,14,1,17,12,7
0.98,9,3,1,15,6,10
0.99,12,10,2,15,17,8
1,3,10,2,9,10,7
