,cationic (0.5 h),cationic (1 h),cationic (2 h),cationic (4 h)
AgNO3 solution (mL),conductivity (µS/cm),conductivity (µS/cm),conductivity (µS/cm),conductivity (µS/cm)
0.1,9.558,9.875,17.77,21.98
0.2,9.75,9.841,17.84,22.17
0.3,9.762,9.849,17.86,22.26
0.4,9.778,9.852,17.88,22.27
0.5,9.815,9.858,17.86,22.34
0.6,9.914,9.881,17.89,22.38
0.7,9.971,9.892,17.88,22.44
0.8,10.08,9.911,17.91,22.5
0.9,10.13,9.947,17.93,22.55
1,10.25,9.983,17.97,22.55
1.1,10.39,10.06,17.98,22.58
1.2,10.56,10.13,17.99,22.63
1.3,10.79,10.2,18.01,22.67
1.4,11.05,10.33,18.03,22.69
1.5,11.33,10.5,18.05,22.7
1.6,11.62,10.67,18.1,22.73
1.7,11.95,10.88,18.14,22.75
1.8,12.28,11.09,18.17,22.75
1.9,12.65,11.32,18.24,22.78
2,13.06,11.57,18.27,22.78
2.1,13.47,11.86,18.3,22.78
2.2,13.93,12.18,18.32,22.8
2.3,14.37,12.54,18.38,22.83
2.4,14.82,12.91,18.45,22.88
2.5,15.3,13.33,18.55,22.91
2.6,15.8,13.75,18.65,22.95
2.7,16.3,14.19,18.83,23.01
2.8,16.79,14.68,18.96,23.04
2.9,17.32,15.12,19.13,23.06
3,17.82,15.6,19.44,23.1
3.1,18.35,16.09,19.72,23.15
3.2,18.88,16.59,20,23.23
3.3,19.38,17.09,20.36,23.33
3.4,19.91,17.6,20.73,23.43
3.5,20.4,18.1,21.16,23.53
3.6,20.92,18.6,21.59,23.59
3.7,21.45,19.1,22.09,23.73
3.8,21.98,19.61,22.61,23.95
3.9,22.51,20.13,23.07,24.16
4,23.04,20.65,23.57,24.38
4.1,,,24.14,24.64
4.2,,,24.55,24.97
4.3,,,25.12,25.29
4.4,,,25.65,25.68
4.5,,,26.22,26.07
4.6,,,26.77,26.52
4.7,,,27.31,26.96
4.8,,,27.88,27.45
4.9,,,,27.9
5,,,,28.48
5.1,,,,29.02
5.2,,,,29.52
5.3,,,,30.07
5.4,,,,30.6
5.5,,,,31.17
5.6,,,,31.74
5.7,,,,32.26
5.8,,,,32.74
5.9,,,,33.36
6,,,,33.91
6.1,,,,34.49
6.2,,,,35.02
6.3,,,,35.62
6.4,,,,36.16
6.5,,,,36.65
6.6,,,,37.23
6.7,,,,37.76
6.8,,,,38.31
6.9,,,,38.81
7,,,,39.4
