,unmodified,oxidized (1h),cationic (1h)
pH,zeta potential (mV),zeta potential (mV),zeta potential (mV)
pH 5_test #1,-5.34,-5.78,2.37
pH 5_test #2,-5.32,-5.87,2.29
pH 5_test #3,-5.38,-5.89,2.17
pH 5_test #4,-5.52,-5.77,2.07
pH 5_test #5,-5.44,-5.88,1.99
pH 5_test #6,,-5.92,2.00
pH 5_Average,-5.40,-5.85,2.15
pH 5_SD,0.07,0.06,0.14
pH 6_test #1,-5.63,-6.31,1.99
pH 6_test #2,-5.64,-6.26,2.06
pH 6_test #3,-5.65,-6.13,2.33
pH 6_test #4,-5.54,-6.17,1.86
pH 6_test #5,-5.56,-6.17,1.90
pH 6_test #6,-5.55,-6.09,2.00
pH 6_Average,-5.59,-6.19,2.02
pH 6_SD,0.04,0.08,0.15
pH 7_test #1,-5.76,-6.48,1.62
pH 7_test #2,-5.77,-6.48,1.71
pH 7_test #3,-5.74,-6.51,1.76
pH 7_test #4,-5.60,-6.34,1.74
pH 7_test #5,,-6.40,1.77
pH 7_test #6,,-6.47,1.87
pH 7_Average,-5.72,-6.45,1.75
pH 7_SD,0.07,0.06,0.07
pH 7.7_test #1,-6.79,-6.88,1.81
pH 7.7_test #2,-6.98,-6.72,1.86
pH 7.7_test #3,-7.22,-6.81,1.83
pH 7.7_test #4,-6.61,-6.75,1.86
pH 7.7_test #5,,-6.74,1.88
pH 7.7_test #6,,-6.72,1.90
pH 7.7_Average,-6.90,-6.77,1.85
pH 7.7_SD,0.23,0.06,0.03
pH 8.6_test #1,-6.61,-6.77,1.89
pH 8.6_test #2,-6.61,-6.82,2.06
pH 8.6_test #3,-6.59,-6.82,1.89
pH 8.6_test #4,-6.55,-6.78,2.09
pH 8.6_test #5,-6.52,-6.75,2.06
pH 8.6_test #6,-6.54,-6.73,2.00
pH 8.6_Average,-6.57,-6.78,2.00
pH 8.6_SD,0.04,0.03,0.08
