,unmodified,oxidized (0.5 h),oxidized (1 h),oxidized (2 h),oxidized (4 h)
,turbidity (NTU),turbidity (NTU),turbidity (NTU),turbidity (NTU),turbidity (NTU)
30 sec_test #1,45.4,33.7,53.5,53.5,42.2
30 sec_test #2,34.2,57.4,36.0,36.0,44.5
30 sec_test #3,48.2,56.8,51.9,51.9,41.7
30 sec_Average,42.6,49.3,47.1,47.1,42.8
30 sec_SD,6.0,11.0,7.9,7.9,1.2
180 sec_test #1,9.6,19.8,20.0,18.2,12.3
180 sec_test #2,8.5,19.0,15.9,18.2,17.5
180 sec_test #3,12.4,17.9,17.9,17.3,14.8
180 sec_Average,10.2,18.9,18.0,17.9,14.9
180 sec_SD,1.6,0.8,1.7,0.4,2.1
