,settling time of 30 s,settling time of 180 s
cationic fiber concentration (mg/L),turbidity (NTU),turbidity (NTU)
200 mg/L_test #1,1.5,1.4
200 mg/L_test #2,1.6,1.7
200 mg/L_test #3,1.6,1.6
200 mg/L_Average,1.6,1.6
200 mg/L_SD,0.1,0.1
150 mg/L_test #1,1.4,1.1
150 mg/L_test #2,1.3,1.2
150 mg/L_test #3,1.3,1.2
150 mg/L_Average,1.3,1.2
150 mg/L_SD,0.1,0.0
100 mg/L_test #1,4.7,4.6
100 mg/L_test #2,4.4,3.9
100 mg/L_test #3,4.8,5.2
100 mg/L_Average,4.6,4.6
100 mg/L_SD,0.2,0.5
50 mg/L_test #1,22.8,10.0
50 mg/L_test #2,20.2,10.9
50 mg/L_test #3,23.9,11.9
50 mg/L_Average,22.3,11.0
50 mg/L_SD,1.5,0.8
0 mg/L_test #1,70.9,16.6
0 mg/L_test #2,79.8,13.8
0 mg/L_test #3,64.8,16.1
0 mg/L_Average,71.8,15.5
0 mg/L_SD,6.2,1.2
