,settling time of 30 s,settling time of 180 s
cationic/unmodified fiber mixing ratio,turbidity (NTU),turbidity (NTU)
1.0_test #1,1.4,1.1
1.0_test #2,1.3,1.2
1.0_test #3,1.3,1.2
1.0_Average,1.3,1.2
1.0_SD,0.1,0.0
0.8_test #1,11.1,3.8
0.8_test #2,9.1,3.1
0.8_test #3,7.1,3.0
0.8_Average,9.1,3.3
0.8_SD,1.6,0.3
0.5_test #1,29.0,5.7
0.5_test #2,33.4,5.6
0.5_test #3,24.1,4.4
0.5_Average,28.8,5.2
0.5_SD,3.8,0.6
0.2_test #1,35.5,11.6
0.2_test #2,25.0,10.3
0.2_test #3,27.6,9.2
0.2_Average,29.4,10.4
0.2_SD,4.5,1.0
0_test #1,45.4,9.6
0_test #2,34.2,8.5
0_test #3,48.2,12.4
0_Average,42.6,10.2
0_SD,6.0,1.6
