in the absence of silica,20 nm beads,200 nm beads,1.0 µm beads,,,,,,,,
bead concentration (mg/L),intensity (a.u.),intensity (a.u.),intensity (a.u.),,,,,,,,
0.8_test #1,47835,43899,42242,,,,,,,,
0.8_test #2,48939,44940,42754,,,,,,,,
0.8_Average,48387,44420,42498,,,,,,,,
0.8_SD,781,736,362,,,,,,,,
0.6_test #1,37617,33535,29386,,,,,,,,
0.6_test #2,39185,35245,30868,,,,,,,,
0.6_Average,38401,34390,30127,,,,,,,,
0.6_SD,1109,1209,1048,,,,,,,,
0.4_test #1,25312,23174,21255,,,,,,,,
0.4_test #2,24984,24021,21596,,,,,,,,
0.4_Average,25148,23598,21426,,,,,,,,
0.4_SD,232,599,241,,,,,,,,
0.2_test #1,15401,13569,11397,,,,,,,,
0.2_test #2,15480,13951,11884,,,,,,,,
0.2_Average,15441,13760,11641,,,,,,,,
0.2_SD,56,270,344,,,,,,,,
0.0_test #1,5018,3408,1176,,,,,,,,
0.0_test #2,5380,3203,1232,,,,,,,,
0.0_Average,5199,3306,1204,,,,,,,,
0.0_SD,256,145,40,,,,,,,,
in the presence of silica,20 nm beads,200 nm beads,1.0 µm beads,,,,,,,,
bead concentration (mg/L),intensity (a.u.),intensity (a.u.),intensity (a.u.),,,,,,,,
0.8_test #1,47195,43729,41452,,,,,,,,
0.8_test #2,47553,43191,42443,,,,,,,,
0.8_Average,47374,43460,41948,,,,,,,,
0.8_SD,253,380,701,,,,,,,,
0.6_test #1,36191,33242,30303,,,,,,,,
0.6_test #2,37545,33684,32070,,,,,,,,
0.6_Average,36868,33463,31187,,,,,,,,
0.6_SD,957,313,1249,,,,,,,,
0.4_test #1,26033,23349,21255,,,,,,,,
0.4_test #2,25475,22581,21422,,,,,,,,
0.4_Average,25754,22965,21339,,,,,,,,
0.4_SD,395,543,118,,,,,,,,
0.2_test #1,15045,13568,11653,,,,,,,,
0.2_test #2,15480,13309,11598,,,,,,,,
0.2_Average,15263,13439,11626,,,,,,,,
0.2_SD,308,183,39,,,,,,,,
0.0_test #1,5228,3548,1226,,,,,,,,
0.0_test #2,4967,3433,1188,,,,,,,,
0.0_Average,5098,3491,1207,,,,,,,,
0.0_SD,185,81,27,,,,,,,,
