,cationic fiber
schedule,turbidity (NTU)
20 minutes_test #1,5.3
20 minutes_test #2,4.7
20 minutes_test #3,6.9
20 minutes_Average,5.6
20 minutes_SD,0.9
10 minutes_test #1,3.6
10 minutes_test #2,5.7
10 minutes_test #3,5.9
10 minutes_Average,5.1
10 minutes_SD,1.0
5 minutes_test #1,6.7
5 minutes_test #2,6.5
5 minutes_test #3,5.7
5 minutes_Average,6.3
5 minutes_SD,0.4
1 minute_test #1,8.2
1 minute_test #2,8.3
1 minute_test #3,6.1
1 minute_Average,7.5
1 minute_SD,1.0
30 seconds_test #1,10.6
30 seconds_test #2,5.5
30 seconds_test #3,5.9
30 seconds_Average,7.3
30 seconds_SD,2.3
